Elapsed Time (Seconds)	Summed Intensity (Pixel Intensity)
0.000000e+00	1.850634e+06
5.000000e-02	1.845239e+06
1.000000e-01	1.840122e+06
1.500000e-01	1.870649e+06
2.000000e-01	1.847058e+06
2.510000e-01	1.869222e+06
3.000000e-01	1.856401e+06
3.500000e-01	1.836498e+06
4.010000e-01	1.866913e+06
4.500000e-01	1.847209e+06
5.010000e-01	1.879036e+06
5.510000e-01	1.858122e+06
6.010000e-01	1.849190e+06
6.500000e-01	1.847664e+06
7.010000e-01	1.863905e+06
7.520000e-01	1.859089e+06
8.010000e-01	1.870066e+06
8.950000e-01	1.854065e+06
9.030000e-01	1.869173e+06
9.520000e-01	1.844667e+06
1.002000e+00	1.864324e+06
1.052000e+00	1.857252e+06
1.101000e+00	1.877718e+06
1.152000e+00	1.858473e+06
1.202000e+00	1.835025e+06
1.254000e+00	1.844721e+06
1.302000e+00	1.866683e+06
1.352000e+00	1.871420e+06
1.402000e+00	1.846094e+06
1.452000e+00	1.872302e+06
1.502000e+00	1.837894e+06
1.553000e+00	1.877827e+06
1.602000e+00	1.858573e+06
1.653000e+00	1.862663e+06
1.703000e+00	1.853549e+06
1.753000e+00	1.863069e+06
1.803000e+00	1.845703e+06
1.853000e+00	1.855750e+06
1.903000e+00	1.867616e+06
1.953000e+00	1.868820e+06
2.013000e+00	1.856785e+06
2.053000e+00	1.854490e+06
2.104000e+00	1.868279e+06
2.155000e+00	1.861340e+06
2.204000e+00	1.879592e+06
2.256000e+00	1.886991e+06
2.305000e+00	1.898223e+06
2.354000e+00	1.847487e+06
2.404000e+00	1.868104e+06
2.455000e+00	1.852704e+06
2.504000e+00	1.873579e+06
2.555000e+00	1.877030e+06
2.605000e+00	1.868857e+06
2.655000e+00	1.857009e+06
2.705000e+00	1.867246e+06
2.754000e+00	1.883900e+06
2.804000e+00	1.873383e+06
2.855000e+00	1.874068e+06
2.905000e+00	1.851028e+06
2.955000e+00	1.870013e+06
3.006000e+00	1.838625e+06
3.056000e+00	1.879987e+06
3.106000e+00	1.853657e+06
3.156000e+00	1.880370e+06
3.206000e+00	1.850761e+06
3.256000e+00	1.867424e+06
3.306000e+00	1.857213e+06
3.356000e+00	1.882789e+06
3.406000e+00	1.862412e+06
3.457000e+00	1.867130e+06
3.506000e+00	1.851709e+06
3.556000e+00	1.852413e+06
3.607000e+00	1.859155e+06
3.657000e+00	1.845708e+06
3.707000e+00	1.872034e+06
3.757000e+00	1.854887e+06
3.813000e+00	1.870275e+06
3.857000e+00	1.848010e+06
3.907000e+00	1.875916e+06
3.957000e+00	1.854638e+06
4.007000e+00	1.875071e+06
4.058000e+00	1.851877e+06
4.108000e+00	1.880127e+06
4.157000e+00	1.811806e+06
4.208000e+00	1.797113e+06
4.258000e+00	1.794197e+06
4.308000e+00	1.811070e+06
4.358000e+00	1.807509e+06
4.408000e+00	1.811664e+06
4.458000e+00	1.825227e+06
4.508000e+00	1.814015e+06
4.559000e+00	1.838319e+06
4.608000e+00	1.824679e+06
4.658000e+00	1.837436e+06
4.708000e+00	1.820425e+06
4.759000e+00	1.837296e+06
4.808000e+00	1.827650e+06
4.860000e+00	1.841964e+06
4.909000e+00	1.828067e+06
4.959000e+00	1.831324e+06
5.009000e+00	1.838077e+06
5.059000e+00	1.841776e+06
5.110000e+00	1.863344e+06
5.159000e+00	1.805872e+06
5.210000e+00	1.769754e+06
5.260000e+00	1.775231e+06
5.310000e+00	1.785745e+06
5.359000e+00	1.793894e+06
5.409000e+00	1.801911e+06
5.460000e+00	1.806674e+06
5.510000e+00	1.809828e+06
5.560000e+00	1.800701e+06
5.613000e+00	1.826193e+06
5.660000e+00	1.817937e+06
5.710000e+00	1.830523e+06
5.761000e+00	1.817712e+06
5.811000e+00	1.809143e+06
5.860000e+00	1.829373e+06
5.911000e+00	1.820208e+06
5.961000e+00	1.824504e+06
6.011000e+00	1.813320e+06
6.061000e+00	1.820697e+06
6.111000e+00	1.844247e+06
6.161000e+00	1.777802e+06
6.211000e+00	1.760069e+06
6.262000e+00	1.774586e+06
6.311000e+00	1.772673e+06
6.361000e+00	1.785840e+06
6.412000e+00	1.761733e+06
6.461000e+00	1.787608e+06
6.512000e+00	1.796960e+06
6.562000e+00	1.800364e+06
6.612000e+00	1.802316e+06
6.662000e+00	1.787881e+06
6.712000e+00	1.806062e+06
6.762000e+00	1.806854e+06
6.812000e+00	1.808804e+06
6.862000e+00	1.817233e+06
6.913000e+00	1.814003e+06
6.963000e+00	1.797211e+06
7.013000e+00	1.811888e+06
7.063000e+00	1.803084e+06
7.113000e+00	1.841858e+06
7.163000e+00	1.761432e+06
7.215000e+00	1.744537e+06
7.263000e+00	1.740584e+06
7.313000e+00	1.771419e+06
7.364000e+00	1.782604e+06
7.414000e+00	1.782526e+06
7.464000e+00	1.786454e+06
7.514000e+00	1.774715e+06
7.564000e+00	1.785624e+06
7.614000e+00	1.793307e+06
7.664000e+00	1.786874e+06
7.714000e+00	1.805831e+06
7.765000e+00	1.791779e+06
7.816000e+00	1.782323e+06
7.864000e+00	1.794152e+06
7.915000e+00	1.793493e+06
7.965000e+00	1.813482e+06
8.015000e+00	1.801042e+06
8.065000e+00	1.802564e+06
8.115000e+00	1.825384e+06
8.165000e+00	1.750110e+06
8.215000e+00	1.733668e+06
8.265000e+00	1.752355e+06
8.316000e+00	1.749779e+06
8.365000e+00	1.765063e+06
8.415000e+00	1.753222e+06
8.465000e+00	1.772200e+06
8.516000e+00	1.775251e+06
8.566000e+00	1.791282e+06
8.615000e+00	1.785336e+06
8.666000e+00	1.781358e+06
8.717000e+00	1.784077e+06
8.767000e+00	1.794184e+06
8.816000e+00	1.799508e+06
8.866000e+00	1.780383e+06
8.916000e+00	1.799966e+06
8.967000e+00	1.769992e+06
9.017000e+00	1.801812e+06
9.067000e+00	1.785037e+06
9.117000e+00	1.837480e+06
9.167000e+00	1.722565e+06
9.217000e+00	1.733135e+06
9.267000e+00	1.733909e+06
9.318000e+00	1.746777e+06
9.367000e+00	1.747875e+06
9.417000e+00	1.771449e+06
9.467000e+00	1.762302e+06
9.517000e+00	1.771343e+06
9.567000e+00	1.759868e+06
9.618000e+00	1.762974e+06
9.668000e+00	1.782687e+06
9.717000e+00	1.770149e+06
9.768000e+00	1.791330e+06
9.818000e+00	1.763794e+06
9.868000e+00	1.791792e+06
9.920000e+00	1.775881e+06
9.968000e+00	1.796605e+06
1.001900e+01	1.787307e+06
1.006800e+01	1.789598e+06
1.011900e+01	1.814698e+06
1.016900e+01	1.711759e+06
1.021800e+01	1.715320e+06
1.027200e+01	1.743414e+06
1.031900e+01	1.745949e+06
1.037000e+01	1.752831e+06
1.041900e+01	1.751942e+06
1.047000e+01	1.751352e+06
1.051900e+01	1.760390e+06
1.056900e+01	1.769732e+06
1.061900e+01	1.791290e+06
1.067000e+01	1.755553e+06
1.072000e+01	1.778085e+06
1.077000e+01	1.745493e+06
1.082000e+01	1.775372e+06
1.087000e+01	1.783103e+06
1.092000e+01	1.778088e+06
1.097000e+01	1.765930e+06
1.102100e+01	1.778466e+06
1.107000e+01	1.775220e+06
1.112000e+01	1.815138e+06
1.117000e+01	1.718546e+06
1.122000e+01	1.725421e+06
1.127100e+01	1.734752e+06
1.132100e+01	1.732042e+06
1.137100e+01	1.740950e+06
1.142100e+01	1.750181e+06
1.147100e+01	1.774193e+06
1.152100e+01	1.750304e+06
1.157100e+01	1.766572e+06
1.162100e+01	1.749320e+06
1.167500e+01	1.773668e+06
1.172100e+01	1.774162e+06
1.177200e+01	1.779126e+06
1.182100e+01	1.769122e+06
1.187200e+01	1.776051e+06
1.192200e+01	1.777061e+06
1.197200e+01	1.762770e+06
1.202200e+01	1.767579e+06
1.207200e+01	1.785524e+06
1.212300e+01	1.804026e+06
1.217300e+01	1.706113e+06
1.222200e+01	1.723555e+06
1.227200e+01	1.724137e+06
1.232300e+01	1.758735e+06
1.237300e+01	1.731184e+06
1.242300e+01	1.756723e+06
1.247200e+01	1.741613e+06
1.252300e+01	1.765836e+06
1.257300e+01	1.752645e+06
1.262300e+01	1.770143e+06
1.267400e+01	1.766417e+06
1.272300e+01	1.776762e+06
1.277300e+01	1.769848e+06
1.282400e+01	1.769925e+06
1.287400e+01	1.779524e+06
1.292400e+01	1.777676e+06
1.297400e+01	1.783919e+06
1.302300e+01	1.770728e+06
1.307400e+01	1.773161e+06
1.312400e+01	1.802918e+06
1.317500e+01	1.719101e+06
1.322500e+01	1.712324e+06
1.327500e+01	1.740205e+06
1.332500e+01	1.728221e+06
1.337400e+01	1.756285e+06
1.342400e+01	1.747374e+06
1.347400e+01	1.762094e+06
1.352500e+01	1.752040e+06
1.357500e+01	1.758233e+06
1.362500e+01	1.765371e+06
1.367600e+01	1.756018e+06
1.372600e+01	1.772408e+06
1.377500e+01	1.761875e+06
1.382600e+01	1.769196e+06
1.387600e+01	1.755973e+06
1.392600e+01	1.771018e+06
1.397600e+01	1.765535e+06
1.402600e+01	1.796294e+06
1.407600e+01	1.758287e+06
1.412600e+01	1.809370e+06
1.417600e+01	1.701242e+06
1.422600e+01	1.735725e+06
1.427600e+01	1.725548e+06
1.432700e+01	1.740441e+06
1.437600e+01	1.733401e+06
1.442600e+01	1.736042e+06
1.447700e+01	1.744741e+06
1.452700e+01	1.756458e+06
1.457700e+01	1.767539e+06
1.462700e+01	1.768211e+06
1.467900e+01	1.765721e+06
1.472700e+01	1.758047e+06
1.477700e+01	1.777350e+06
1.482700e+01	1.769246e+06
1.487700e+01	1.776416e+06
1.492800e+01	1.767290e+06
1.497800e+01	1.770282e+06
1.502800e+01	1.767084e+06
1.507700e+01	1.760093e+06
1.512800e+01	1.779140e+06
1.517800e+01	1.727039e+06
1.522800e+01	1.726175e+06
1.527800e+01	1.727975e+06
1.533000e+01	1.735400e+06
1.538000e+01	1.739086e+06
1.542800e+01	1.763592e+06
1.547800e+01	1.759169e+06
1.552900e+01	1.758410e+06
1.557800e+01	1.741234e+06
1.562900e+01	1.762183e+06
1.567900e+01	1.762047e+06
1.572900e+01	1.780660e+06
1.577900e+01	1.774654e+06
1.583000e+01	1.775755e+06
1.587900e+01	1.767515e+06
1.592900e+01	1.777038e+06
1.598000e+01	1.783522e+06
1.603000e+01	1.798409e+06
1.608000e+01	1.778421e+06
1.613000e+01	1.802418e+06
1.618000e+01	1.689458e+06
1.623000e+01	1.727758e+06
1.628000e+01	1.739851e+06
1.633100e+01	1.740709e+06
1.638000e+01	1.755873e+06
1.643100e+01	1.743366e+06
1.648000e+01	1.763723e+06
