Elapsed Time (Seconds)	Summed Intensity (Pixel Intensity)
0.000000e+00	1.647262e+06
5.000000e-02	1.646569e+06
1.000000e-01	1.644141e+06
1.500000e-01	1.642440e+06
2.010000e-01	1.640589e+06
2.500000e-01	1.649552e+06
3.010000e-01	1.642353e+06
3.520000e-01	1.642014e+06
4.010000e-01	1.639932e+06
4.510000e-01	1.637198e+06
5.010000e-01	1.645779e+06
5.510000e-01	1.645778e+06
6.010000e-01	1.647247e+06
6.510000e-01	1.642772e+06
7.020000e-01	1.642559e+06
7.520000e-01	1.642443e+06
8.010000e-01	1.643696e+06
8.530000e-01	1.645055e+06
9.020000e-01	1.646748e+06
9.510000e-01	1.642354e+06
1.002000e+00	1.647742e+06
1.052000e+00	1.643082e+06
1.102000e+00	1.653001e+06
1.152000e+00	1.646133e+06
1.202000e+00	1.653146e+06
1.252000e+00	1.648603e+06
1.302000e+00	1.644930e+06
1.352000e+00	1.650075e+06
1.402000e+00	1.648702e+06
1.453000e+00	1.653547e+06
1.503000e+00	1.648889e+06
1.553000e+00	1.645036e+06
1.603000e+00	1.645916e+06
1.653000e+00	1.645825e+06
1.703000e+00	1.654776e+06
1.754000e+00	1.652554e+06
1.804000e+00	1.653386e+06
1.854000e+00	1.650867e+06
1.904000e+00	1.645625e+06
1.956000e+00	1.654417e+06
2.006000e+00	1.651856e+06
2.054000e+00	1.655455e+06
2.106000e+00	1.650322e+06
2.154000e+00	1.643722e+06
2.204000e+00	1.653691e+06
2.254000e+00	1.651081e+06
2.304000e+00	1.658929e+06
2.355000e+00	1.660111e+06
2.408000e+00	1.658553e+06
2.455000e+00	1.657594e+06
2.504000e+00	1.625783e+06
2.555000e+00	1.637111e+06
2.605000e+00	1.640456e+06
2.655000e+00	1.644014e+06
2.705000e+00	1.643754e+06
2.757000e+00	1.638205e+06
2.805000e+00	1.649858e+06
2.855000e+00	1.644912e+06
2.905000e+00	1.653299e+06
2.955000e+00	1.646482e+06
3.006000e+00	1.645602e+06
3.055000e+00	1.646463e+06
3.106000e+00	1.639141e+06
3.156000e+00	1.651262e+06
3.206000e+00	1.648802e+06
3.256000e+00	1.652025e+06
3.306000e+00	1.646535e+06
3.356000e+00	1.644411e+06
3.407000e+00	1.647690e+06
3.457000e+00	1.653896e+06
3.507000e+00	1.617452e+06
3.557000e+00	1.633514e+06
3.607000e+00	1.638924e+06
3.657000e+00	1.639494e+06
3.708000e+00	1.635440e+06
3.757000e+00	1.648371e+06
3.808000e+00	1.647853e+06
3.857000e+00	1.648804e+06
3.907000e+00	1.638390e+06
3.958000e+00	1.634329e+06
4.007000e+00	1.646930e+06
4.058000e+00	1.641225e+06
4.108000e+00	1.648074e+06
4.157000e+00	1.648779e+06
4.207000e+00	1.644950e+06
4.258000e+00	1.645636e+06
4.308000e+00	1.641477e+06
4.358000e+00	1.647020e+06
4.408000e+00	1.651488e+06
4.458000e+00	1.658195e+06
4.509000e+00	1.608936e+06
4.558000e+00	1.617340e+06
4.609000e+00	1.633932e+06
4.659000e+00	1.636235e+06
4.708000e+00	1.639732e+06
4.758000e+00	1.639813e+06
4.809000e+00	1.642207e+06
4.859000e+00	1.643202e+06
4.909000e+00	1.635311e+06
4.959000e+00	1.646585e+06
5.010000e+00	1.643133e+06
5.059000e+00	1.642873e+06
5.109000e+00	1.638275e+06
5.159000e+00	1.633667e+06
5.210000e+00	1.643412e+06
5.260000e+00	1.645845e+06
5.310000e+00	1.641163e+06
5.360000e+00	1.641229e+06
5.410000e+00	1.637696e+06
5.461000e+00	1.654791e+06
5.511000e+00	1.607204e+06
5.561000e+00	1.618325e+06
5.610000e+00	1.633876e+06
5.661000e+00	1.630314e+06
5.711000e+00	1.632629e+06
5.761000e+00	1.630793e+06
5.811000e+00	1.634098e+06
5.861000e+00	1.637565e+06
5.911000e+00	1.636897e+06
5.962000e+00	1.636494e+06
6.012000e+00	1.636499e+06
6.062000e+00	1.628239e+06
6.112000e+00	1.638768e+06
6.162000e+00	1.635442e+06
6.211000e+00	1.642414e+06
6.262000e+00	1.625415e+06
6.312000e+00	1.631064e+06
6.362000e+00	1.621908e+06
6.412000e+00	1.640343e+06
6.462000e+00	1.647310e+06
6.512000e+00	1.598375e+06
6.562000e+00	1.610299e+06
6.623000e+00	1.628674e+06
6.662000e+00	1.620946e+06
6.712000e+00	1.626728e+06
6.763000e+00	1.626503e+06
6.813000e+00	1.630738e+06
6.863000e+00	1.626242e+06
6.913000e+00	1.619517e+06
6.963000e+00	1.623410e+06
7.014000e+00	1.633670e+06
7.064000e+00	1.633005e+06
7.114000e+00	1.624850e+06
7.164000e+00	1.631960e+06
7.214000e+00	1.623937e+06
7.264000e+00	1.630572e+06
7.314000e+00	1.623994e+06
7.364000e+00	1.628291e+06
7.414000e+00	1.632215e+06
7.464000e+00	1.631365e+06
7.514000e+00	1.585384e+06
7.569000e+00	1.600390e+06
7.614000e+00	1.619560e+06
7.666000e+00	1.623018e+06
7.714000e+00	1.618950e+06
7.765000e+00	1.619931e+06
7.816000e+00	1.622195e+06
7.865000e+00	1.620243e+06
7.915000e+00	1.628268e+06
7.965000e+00	1.622357e+06
8.015000e+00	1.627331e+06
8.065000e+00	1.619679e+06
8.115000e+00	1.615767e+06
8.165000e+00	1.624307e+06
8.216000e+00	1.624518e+06
8.266000e+00	1.626781e+06
8.316000e+00	1.623510e+06
8.366000e+00	1.627363e+06
8.416000e+00	1.622488e+06
8.466000e+00	1.632913e+06
8.525000e+00	1.592762e+06
8.567000e+00	1.609689e+06
8.617000e+00	1.609493e+06
8.666000e+00	1.611861e+06
8.716000e+00	1.603020e+06
8.766000e+00	1.615863e+06
8.817000e+00	1.619715e+06
8.867000e+00	1.622740e+06
8.917000e+00	1.616539e+06
8.969000e+00	1.619732e+06
9.017000e+00	1.614497e+06
9.067000e+00	1.621103e+06
9.117000e+00	1.617331e+06
9.167000e+00	1.622475e+06
9.217000e+00	1.620903e+06
9.268000e+00	1.614754e+06
9.318000e+00	1.611106e+06
9.368000e+00	1.619939e+06
9.418000e+00	1.623240e+06
9.468000e+00	1.623144e+06
9.518000e+00	1.585241e+06
9.568000e+00	1.596151e+06
9.618000e+00	1.610594e+06
9.668000e+00	1.606592e+06
9.719000e+00	1.613108e+06
9.768000e+00	1.608774e+06
9.819000e+00	1.618258e+06
9.868000e+00	1.609633e+06
9.919000e+00	1.606833e+06
9.969000e+00	1.612369e+06
1.001900e+01	1.618929e+06
1.006900e+01	1.620288e+06
1.011900e+01	1.610172e+06
1.016900e+01	1.608518e+06
1.021900e+01	1.616935e+06
1.026900e+01	1.616076e+06
1.032300e+01	1.619910e+06
1.036900e+01	1.617170e+06
1.042000e+01	1.614936e+06
1.046900e+01	1.620728e+06
1.052000e+01	1.573478e+06
1.057000e+01	1.602495e+06
1.062000e+01	1.603335e+06
1.067000e+01	1.608418e+06
1.072000e+01	1.602727e+06
1.077000e+01	1.603729e+06
1.082000e+01	1.613734e+06
1.087000e+01	1.613473e+06
1.092100e+01	1.613503e+06
1.097100e+01	1.609258e+06
1.102100e+01	1.613104e+06
1.107000e+01	1.610216e+06
1.112100e+01	1.606269e+06
1.117100e+01	1.609751e+06
1.122100e+01	1.615028e+06
1.127100e+01	1.612396e+06
1.132100e+01	1.611372e+06
